Technology	GWP_construction [ktCO2-eq/y]
CCGT_CCS	53.149867
PV	642.745584
WIND	230.454500
HYDRO_DAM	512.132500
HYDRO_RIVER	208.395000
IND_BOILER_GAS	1.047115
IND_BOILER_WOOD	2.282482
IND_BOILER_WASTE	1.969272
IND_HEATER_ELEC	0.128992
DHN_HP_ELEC	10.056121
DHN_BOILER_GAS	1.934401
DHN_GEOTHERMAL	73.364871
DEC_HP_ELEC	81.128238
DEC_BOILER_GAS	4.396605
DEC_BOILER_OIL	2.198302
THERMAL_SOLAR	79.477154
DEC_HEATER_ELEC	0.106715
H2_ELECTROLYSIS	0.023245
P2G_INVESTMENT	0.040464

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	2.400000

Resource	GWP_op [ktCO2-eq/y]
GASOLINE	1888.614967
DIESEL	1693.527267
OIL	1617.508448
NG	4969.320361
NG_CCS	2232.438325
WOOD	147.348000
WASTE	1671.300000
