Technology	Energy output [GWh/y]
CCGT_CCS	27033.865
PV	7613.155
WIND	14850.912
HYDRO_DAM	24805.968
HYDRO_RIVER	18119.160
IND_COGEN_GAS	650.853
IND_BOILER_GAS	20752.075
IND_BOILER_WASTE	9132.787
IND_HEATER_ELEC	4051.077
DHN_HP_ELEC	4779.592
DHN_BOILER_GAS	3186.395
DHN_GEOTHERMAL	7965.987
DEC_HP_ELEC	23325.976
DEC_THERMAL_HP_GAS	9826.307
DEC_BOILER_GAS	9826.307
DEC_BOILER_OIL	4913.154
THERMAL_SOLAR	1239.792
H2_FROM_GAS	5146.854

Resource	Energy consumption [GWh/y]
GASOLINE	5396.043
DIESEL	5292.273
OIL	5797.521
NG	58840.003
NG_CCS	47309.265
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_GASOLINE	10377.005
CAR_DIESEL	10377.005
CAR_PHEV	5188.503
CAR_BEV	15565.508
CAR_FC	10377.005
BUS_NG	23348.262
TRAIN_PUBLIC	54479.278
TRAIN_FREIGHT	20406.935
TRUCK_FREIGHT_FC	13604.623
