Technology	Energy output [GWh/y]
CCGT_CCS	74460.000
COAL_IGCC_CCS	655.517
PV	13695.986
WIND	14850.912
HYDRO_DAM	24805.968
HYDRO_RIVER	27973.440
IND_BOILER_GAS	14093.689
IND_BOILER_WOOD	4442.958
IND_BOILER_WASTE	9132.787
IND_HEATER_ELEC	6917.358
DHN_HP_ELEC	7356.976
DHN_BOILER_GAS	4904.650
DHN_GEOTHERMAL	12261.626
DEC_HP_ELEC	22417.949
DEC_BOILER_GAS	8967.180
DEC_BOILER_OIL	4483.590
THERMAL_SOLAR	7760.711
DEC_HEATER_ELEC	1206.469
POWER_TO_GAS_EFF	32884.429
H2_ELECTROLYSIS	8726.920
PYROLYSIS	4750.113

Resource	Energy consumption [GWh/y]
GASOLINE	5396.043
DIESEL	5292.273
OIL	540.523
NG_CCS	130305.000
WOOD	12279.000
COAL_CCS	1363.474
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_GASOLINE	10377.005
CAR_DIESEL	10377.005
CAR_PHEV	5188.503
CAR_BEV	15565.508
CAR_FC	10377.005
BUS_NG	7782.754
BUS_FC	15565.508
TRAIN_PUBLIC	54479.278
TRAIN_FREIGHT	20406.935
TRUCK_FREIGHT_FC	13604.623
