Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
CCGT_CCS	512.954025	206.913444
PV	295.120195	247.040000
WIND	743.561476	169.460000
HYDRO_DAM	1862.243409	34.969000
HYDRO_RIVER	1749.298078	503.580000
IND_BOILER_GAS	7.034276	1.823513
IND_BOILER_WOOD	12.761272	3.302885
IND_BOILER_WASTE	11.010126	2.849652
IND_HEATER_ELEC	38.274550	2.040939
DHN_HP_ELEC	31.144484	18.409375
DHN_BOILER_GAS	12.994858	3.368689
DHN_GEOTHERMAL	231.224289	163.547060
DEC_HP_ELEC	344.215573	199.253708
DEC_BOILER_GAS	46.341631	18.065670
DEC_BOILER_OIL	20.816781	16.117411
THERMAL_SOLAR	378.366066	62.087035
DEC_HEATER_ELEC	3.876639	0.202759
H2_ELECTROLYSIS	43.162186	55.345766
P2G_INVESTMENT	115.886075	98.509309

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
GASOLINE	474.851763
DIESEL	449.843180
OIL	412.203766
NG	748.951947
NG_CCS	2631.667891
WOOD	1141.947000
WASTE	0.000000
